V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
295.611	293.729	292.088	290.661	289.425	288.358	287.442	286.663	286.008	285.466	285.027	284.684	284.432	284.266	284.184
298.341	296.145	294.230	292.565	291.122	289.877	288.809	287.900	287.136	286.502	285.990	285.590	285.296	285.103	285.007
299.039	296.762	294.778	293.052	291.556	290.265	289.158	288.216	287.424	286.768	286.237	285.822	285.517	285.317	285.217
298.428	296.221	294.298	292.626	291.176	289.925	288.852	287.939	287.171	286.535	286.021	285.619	285.323	285.129	285.033
297.239	295.170	293.366	291.797	290.437	289.264	288.257	287.401	286.681	286.084	285.601	285.224	284.947	284.765	284.674
298.365	296.166	294.249	292.582	291.137	289.890	288.821	287.911	287.145	286.512	285.999	285.598	285.304	285.110	285.014
299.073	296.792	294.804	293.075	291.577	290.284	289.175	288.232	287.438	286.780	286.249	285.833	285.528	285.327	285.227
298.415	296.210	294.288	292.617	291.168	289.918	288.846	287.934	287.166	286.531	286.016	285.615	285.320	285.125	285.029
294.662	292.889	291.343	289.999	288.834	287.829	286.967	286.233	285.616	285.105	284.691	284.368	284.131	283.975	283.897
293.387	291.761	290.343	289.110	288.041	287.119	286.328	285.655	285.089	284.620	284.241	283.945	283.727	283.584	283.513
292.532	291.004	289.672	288.513	287.510	286.643	285.900	285.268	284.736	284.296	283.939	283.661	283.456	283.322	283.255
296.764	294.749	292.992	291.465	290.141	288.999	288.019	287.185	286.484	285.903	285.433	285.066	284.797	284.619	284.531
301.128	298.611	296.417	294.509	292.855	291.428	290.204	289.163	288.287	287.561	286.974	286.516	286.179	285.957	285.847
298.493	296.279	294.349	292.671	291.217	289.962	288.885	287.969	287.198	286.560	286.044	285.641	285.344	285.149	285.052
292.454	290.935	289.611	288.459	287.461	286.600	285.861	285.233	284.704	284.266	283.912	283.635	283.432	283.298	283.232
295.751	293.853	292.198	290.759	289.512	288.435	287.512	286.727	286.066	285.519	285.076	284.730	284.476	284.309	284.226
297.845	295.706	293.841	292.220	290.814	289.601	288.561	287.676	286.931	286.314	285.815	285.426	285.139	284.951	284.857
293.482	291.845	290.418	289.176	288.101	287.172	286.376	285.699	285.129	284.657	284.275	283.977	283.757	283.613	283.542
291.777	290.336	289.080	287.987	287.040	286.223	285.522	284.926	284.424	284.009	283.673	283.410	283.217	283.090	283.027
289.377	288.212	287.197	286.313	285.548	284.887	284.321	283.839	283.433	283.097	282.826	282.613	282.457	282.355	282.304
